
食堂　　　しょく　ドウ　　| Thực Đường
本堂　　　はん　　ドウ　　| Bổn Đường
派手な　　ハ　　　で　　　| Phái Thủ
派生する　ハ　　　せい　　| Phái Sinh
帯びる　　おーびる　　　　| 
連帯する　れん　　タイ　　| Liên Đới
帯刀　　　タイ　　とう　　| Đới Đao
付帯　　　ふ　　　タイ　　| Phó Đới
帯　　　　おび　　　　　　| Đới
引率　　　いん　　ソツ　　| Dẫn Suất
工率　　　こう　　リツ　　| Công Suất
率いる　　ひきーいる　　　| 
同値　　　どう　　チ　　　| Đồng Trị
価値　　　か　　　チ　　　| Giá Trị
値　　　　あたい　　　　　| 
値上　　　ね　　　あげ　　| 
半額　　　はん　　ガク　　| Bán Ngạch
全額　　　ぜん　　ガク　　| Toàn Ngạch
額　　　　ひたい　　　　　| 
税金　　　ゼイ　　きん　　| Thuế Kim
関税　　　かん　　ゼイ　　| Quan Thuế
大群　　　だい　　グン　　| Đại Quần
出群　　　で　　　グン　　| Xuất Quần
群がる　　むらーがる　　　| 
群れ　　　むーれ　　　　　| 
群れる　　むーれる　　　　| 
軍人　　　グン　　じん　　| Quân Nhân
軍令　　　グン　　れい　　| Quân Lệnh
団体　　　ダン　　たい　　| Đoàn Thể
布団　　　ふ　　　トン　　| Bố Đoàn
出師　　　すい　　シ　　　| Xuất Sư
大師　　　だい　　シ　　　| Đại Sư
人士　　　じん　　シ　　　| Nhân Sĩ
力士　　　りょく　シ　　　| Lực Sĩ
大型　　　おお　　がた　　| 
小型　　　こ　　　がた　　| 
体型　　　たい　　ケイ　　| Thể Hình
円型　　　えん　　ケイ　　| Viên Hình
証券　　　しょう　ケン　　| Chứng Khoán
半券　　　はん　　ケン　　| Bán Khoán
不満　　　ふ　　　マン　　| Bất Mãn
満足　　　マン　　ぞく　　| Mãn Túc
満たす　　みーたす　　　　| 
満ちる　　みーちる　　　　| 
旧式　　　キュウ　しき　　| Cựu Thức
旧の三月　キュウ　の３月　| 
旧土　　　キュウ　ど　　　| Cựu Thổ
故旧　　　こ　　　キュウ　| Cố Cựu 
未知　　　ミ　　　ち　　　| Vị Tri
未満　　　ミ　　　マン　　| Vị Mãn
超人　　　チョウ　　　　　| Siêu Nhân
入超　　　にゅう　チョウ　| Nhập Siêu
超す　　　こーす　　　　　| 
超える　　こーえる　　　　| 
再会　　　サイ　　かい　　| Tái Hội
再生　　　サイ　　せい　　| Tái Sinh
再び　　　ふたたーび　　　| 
諸国　　　ショ　　こく　　| Chư Quốc
諸子　　　ショ　　し　　　| 
諸々　　　もろ　　もろ　　| 
各国　　　カク　　カッこく| Các Quốc
各人　　　カク　　じん　　| 
各回　　　カク　　かい　　| Các Hồi
各々　　　おの　　おの　　| 
総じて　　ソウーじて　　　| 
総会　　　ソウ　　かい　　| Tổng Hội
総体　　　ソウ　　たい　　| Tổng Thể
総て　　　すべーて　　　　| 
