お住まい		おすまい				Trú, trụ
ご免				ごめん					Miễn	, vấn
一位				いちい					Nhất vị
一体				いったい				Nhất thể
一個				いちこ					Nhất cá
三倍				さんばい				Tam bội
上側				うわがわ				Thượng trắc
下側				したがわ				Hạ trắc
中元				ちゅうげん			Trung nguyên
交代				こうたい				Giao đại
人偏				にんべん				Nhân thiên
今日				きょう					Kim nhật
仏					ぶつ						Phật
仏像				ぶつぞう				Phật tượng
仏壇				ぶつだん				Phật đàn
仏教				ぶっきょう			Phật giáo
仕方				しかた					Sĩ phương
他の人			ほかのひと			Tha nhân
他人				たにん					Tha nhân
付加				ふか						Phó gia
仙					せん						Tiên
仙人				せんにん				Tiên nhân
代える			かえる					Đại
代わる			かわる					Đại
代理				だいり					Đại lí
代表				だいひょう			Đại biểu
以後				いご						Dĩ hậu
以降				いこう					Dĩ giáng
仮に				かりに					Gi ả
仮定				かてい					Gi ả định
仲がいい		なかがいい			Trọng
仲介				ちゅうかい			Trọng giới
仲直りする	なかなおりする		Trọng trực
仲間				なかま					Trọng gian
任せる			まかせる				Nhậm, nhâm, nhiệm
企業				きぎょう				Xí nghiệp
企画				きかく					Xí họa
伏す				ふす						Phục
伏せる			ふせる					Phục
休ませる		やすませる			Hưu
休憩				きゅうけい			Hưu khế
休暇				きゅうか				Hưu hạ
伝わる			つたわる				Truyền
伝統的			でんとうてき			Truyền thống đích
伯父				おじ						Bá phụ
伴う				ともなう				Bạn
伸ばす			のばす					Thân
伸びる			のびる					Thân
伺う				うかがう				Tứ, tí
似る				にる						Tự
位置				いち						Vị trí
住所				じゅうしょ			Trụ sở
佐官				さかん					Tá quan
体					たい						Thể
何年				なんねん				Hà niên
余り				あまり					Dư
余裕				よゆう					Dư dụ
作文				さくぶん				Tác văn
作業				さぎょう				Tác nghiệp
使用				しよう					Sử dụng
例えば			たとえば				Lệ
例外				れいがい				Lệ ngoại
侍					さむらい				Thị
侍女				じじょ					Thị nữ
依る				よる						Ỷ
依頼				いらい					Ỷ lại
価値				かち						Gi á trị
価格				かかく					Gi á cách
侵入				しんにゅう			Xâm nhập
便利				べんり					Tiện lợi
便秘				べんぴ					Tiện bí
係り				かかり					Hệ
係長				かかりちょう			Hệ trưởng
保険				ほけん					Bảo hiểm
信仰が厚い	しんこうがあつい	Tín ngưỡng hậu
修理				しゅうり				Tu lí
俳優				はいゆう				Bài ưu
俺					おれ						Yêm
倉庫				そうこ					Thương khố
倉敷				くらしき				Thương phu
倒す				たおす					Đảo
倒れる			たおれる				Đảo
倒産				とうさん				Đảo sản
借金				しゃっきん			Tá kim
値段				ねだん					Trị đoạn
倫理				りんり					Luân lí
偉い				えらい					Vĩ
偉人				いじん					Vĩ nhân
停止				ていし					Đình chỉ
健康				けんこう				Kiện khang
偶数				ぐうすう				Ngẫu số
偶然				ぐうぜん				Ngẫu nhiên
傍					そば						Bàng, bạng
傘下				さんか					Tán hạ
備える			そなえる				Bị
備わる			そなわる				Bị
傲慢				ごうまん				Ngạo mạn
傷口				きずぐち				Thương khẩu
傾く				かたむく				Khuynh
傾ける			かたむける			Khuynh
傾向				けいこう				Khuynh hướng
僅か				わずか					Cận
働く				はたらく				Động
僕					ぼく						Bộc
優れる			すぐれる				Ưu
優先				ゆうせん				Ưu tiên
儲ける			もうける				Trữ
元旦				がんたん				Nguyên đán
兄弟				きょうだい			Huynh đệ
充分				じゅうぶん			Sung phân
充服				じゅうふく			Sung phục
充電				じゅうでん			Sung điện
免許				めんきょ				Miễn hứa
児量				じりょう				Nhi lượng
内側				うちがわ				Nội trắc
再会				さいかい				Tái hội
出会い			であい					Xuất hội
利用				りよう					Lợi dụng
労働者			ろうどうしゃ			Lao động gi ả
勤倹				きんけん				Cần kiệm
受信				じゅしん				Thụ tín
古今				ここん					Cổ kim
定休				ていきゅう			Định hưu
定価				ていか					Định gi á
年俸				ねんぽう				Niên	bổng
想像				そうぞう				Tưởng tượng
愛児				あいじ					Ái nhi
手伝う			てつだう				Thủ truyền
数億年			すうおくねん			Số ức niên
条件				じょうけん			Điều kiện
模倣				もほう					Mô phỏng
歌舞伎			かぶき					Ca vũ kĩ
気候				きこう					Khí hậu
添付				てんぷ					Thiêm phó
準備				じゅんび				Chuẩn bị
為替				かわせ					Vi	thế
物価				ぶっか					Vật gi á
用件				ようけん				Dụng kiện
百億				ひゃくおく			Bách ức
真似をする	まねをする			Chân tự
礼儀				れいぎ					Lễ nghi
窓側の席		まどがわのせき		Song trắc tịch
紹介				しょうかい			Thiệu giới
背が低い		せがひくい			Bối đê
船便				ふなびん				Thuyền	 tiện
行儀				ぎょうぎ				Hành nghi
観光地			かんこうち			Quan quang địa
責任				せきにん				Trách nhiệm
貸借				たいしゃく			Thải tá
軽侮				けいぶ					Khinh vũ
通路側の席	つうろがわのせき	Thông lộ trắc tịch
風俗				ふうぞく				Phong tục
